title,artist,album,playlist
Hopeless Opus,Imagine Dragons,Smoke + Mirrors,2015 Alt/Pop
Devil Pray,Madonna,Rebel Heart (Deluxe),2015 Alt/Pop
Joan Of Arc,Madonna,Rebel Heart (Deluxe),2015 Alt/Pop
Block After Block,Matt & Kim,Sidewalks,2015 Alternative/Indie
Little Wanderer,Death Cab for Cutie,Kintsugi,2015 Alternative/Indie
No Room In Frame,Death Cab for Cutie,Kintsugi,2015 Alternative/Indie
"Pistol (A. Cunanan, Miami, FL. 1996)",Modest Mouse,Strangers to Ourselves,2015 Alternative/Indie
Wasted Time,Best Coast,California Nights,2015 Alternative/Indie
Aurelia,LANKS,Banquet EP,2015 Alternative/Indie
Hometown,Twenty One Pilots,Blurryface,2015 Alternative/Indie
Keep You On My Side,CHVRCHES,Every Open Eye (Special Edition),2015 Alternative/Indie
New Americana,Halsey,BADLANDS (Deluxe),2015 Alternative/Indie
Stressed Out,Twenty One Pilots,Blurryface,2015 Alternative/Indie
Tear In My Heart,Twenty One Pilots,Blurryface,2015 Alternative/Indie
Younger (Kygo Remix),Seinabo Sey,For Madeleine,2015 Alternative/Indie
Cheerleader,OMI,Cheerleader (Remixes),2015 Dance/Electronic
1993,Emancipator,Seven Seas,2015 Dance/Electronic
Kernkraft 400 (Sport Chant Stadium Remix),Zombie Nation,Kernkraft 400 Single Mixes,2015 Dance/Electronic
Light (feat. Little Dragon),ODESZA,In Return (Deluxe Edition),2015 Dance/Electronic
Pacing,Tep No,Pacing,2015 Dance/Electronic
Sick Ass Moon,!!!,As If,2015 Dance/Electronic
Vision Quest,Emancipator,Seven Seas,2015 Dance/Electronic
On & On,SoMo,My Life II,2015 R&B/Soul
Run River,Mozez,Wings,2015 R&B/Soul
